// ----------------------------------------------------------------------------------
//	Map Teleport (Client)
//===================================================================================
//==============================
//	Map List
//==============================
0
// ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//	MapName				PointX		PointY	MinL 	 MaxL	MinRes	MaxRes	MinGRes	MaxGRes		Zen	 WcoinP		Ruud		NeedMaster	NeedPK	NeedGuild	EmptyInv		AccountLevel
// ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	"Lorencia"			328		150 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Dungeon"			370		165 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Devias"			270		110 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Devias 2"			300		120 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Devias 3"			265		75 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Devias 4"			310		100 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0	
	"Noria"				410		185 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Lost Tower"			85		140 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Lost Tower 2"			95		180 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Lost Tower 3"			90		200 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Lost Tower 4"			95		220 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Lost Tower 5"			110		240 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Lost Tower 6"			100		270 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Lost Tower 7"			110		300 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Arena"				250		265 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0		
	"Atlans"			450		150 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Atlans 2"			480		180 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Atlans 3"			485		210 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0		
	"Tarkan"			510		140 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Tarkan 2"			475	    	110 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Icarus"			140		90 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Valey Of Loren"		270		190 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Aida"				400		230 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Aida2"				465		255	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0	
	"Cry Wolf"			520		205 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Kanturu"			400		280 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Kanturu 2"			400		340 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Kanturu 3"			350		330 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Kanturu Relics"		310		290 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Barracks"			530		235 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Swamp"				530		260 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Elbeland"			200		120 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"LaCleon"			530		340 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
	"Vucanus"			480		290 	1	 400	0	100	0	100		1000 	0		0		0		0	0		0			0
end
