//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
1       6294    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing200"
2       6295    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing201"
3       6296    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing202"
4       6297    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing204"
5       6298    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing205"
6       6299    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "cape_of_death"
7       6300    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing401"
8       6301    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing402"
9       6302    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing403"
10      6303    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing404"
11      6304    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wing405"
12      6305    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing406"
13      6306    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wing407"
14      6307    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "WingsOfPower"
16      6308    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wing408"
17      6309    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "VSL_Cape_NightBlue"
18      6310    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "VSL_Cape_Midnight"
19      6311    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "MJS_wing_12"
20      6312    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wingawa"
21      6313    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "VSL_CapeSH_MuZago"
22      6314    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "capeSteel"
23      6315    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing52"
24      6316    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing53"
25      6317    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing54"
26      6318    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing55"
27      6319    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "GuncrahserWing3rd"
28      6320    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "GuncrasherWing4th"
29      6321    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "ZS_Wing_13"
30      6322    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing800"
31      6323    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing801"
32      6324    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing802"
33      6325    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing803"
34      6326    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing806"
35      6327    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing805"
36      6328    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing807"
