04:39:52 [SocketManager] Server started at port [44405]
04:39:52 [ServerList] ServerList loaded successfully
04:39:55 [ServerList] JoinServer online
04:39:57 [ServerList] GameServer online (Server_1) (0)
04:39:59 [ServerList] GameServer online (Server_2) (1)
04:40:01 [ServerList] GameServer online (Server_1_CS) (19)
06:34:53 [SocketManager] Protocol header error (Index: 0, Header: 3)
06:34:53 [SocketManager] Protocol header error (Index: 2, Header: 3)
07:09:15 [SocketManager] Protocol header error (Index: 0, Header: 3)
07:09:15 [SocketManager] Protocol header error (Index: 1, Header: 3)
09:38:39 [SocketManager] Protocol header error (Index: 2, Header: 3)
09:38:39 [SocketManager] Protocol header error (Index: 0, Header: 3)
10:20:35 [SocketManager] Protocol header error (Index: 2, Header: 3)
10:20:35 [SocketManager] Protocol header error (Index: 0, Header: 3)
11:19:00 [SocketManager] Protocol header error (Index: 2, Header: 3)
11:19:01 [SocketManager] Protocol header error (Index: 0, Header: 3)
13:57:43 [SocketManager] Protocol header error (Index: 2, Header: 3)
13:57:43 [SocketManager] Protocol header error (Index: 0, Header: 3)
14:24:53 [SocketManager] Protocol header error (Index: 2, Header: 3)
14:24:54 [SocketManager] Protocol header error (Index: 0, Header: 3)
16:06:57 [SocketManager] Protocol header error (Index: 0, Header: 3)
16:06:57 [SocketManager] Protocol header error (Index: 1, Header: 3)
18:38:01 [SocketManager] Protocol header error (Index: 1, Header: 3)
18:38:01 [SocketManager] Protocol header error (Index: 2, Header: 3)
20:02:30 [SocketManager] Protocol header error (Index: 2, Header: 3)
20:02:30 [SocketManager] Protocol header error (Index: 0, Header: 3)
20:57:24 [SocketManager] Protocol header error (Index: 0, Header: 3)
20:57:24 [SocketManager] Protocol header error (Index: 1, Header: 3)
23:08:09 [SocketManager] Protocol header error (Index: 1, Header: 3)
23:08:09 [SocketManager] Protocol header error (Index: 2, Header: 3)
