//0 Zen
//1 WCoinC
//2 WcoinP
//3 Goblin Points
//4 Ruud
0 
//PriceType	Enable	NPCClass   NPCMap	NPCX	NPCY	AllowAncExc   	MaxLevel   LevelPrice   LuckPrice   AddPrice   Opt1Price   Opt2Price   Opt3Price   Opt4Price   Opt5Price   Opt6Price	MaxExcOpt   	AncPrice   SocketPrice
1		1	613	   0		131	134	1               15         10           100         10         150         150         150         150         150         150         	2		3000       1000	
end

1
//Type   Index   Price
7        2       100 //pad 
7        4       225 //bone
7        7       300 //sphinks
7        3       400 //legendary
7        18      500 //grand soul
7        22      650 //dark soul
7        30      800 //venom
7        35      1000 //eclips
7        52      1200 //hades
7        102     1500 //dark devil
7        112     1600 //dark wiz
7        116     2500 //Mercury
8        2       100 //pad
8        4       225 //bone
8        7       300 //sphinks
8        3       400 //legendary
8        18      500 //grand soul
8        22      650 //dark soul
8        30      800 //venom
8        35      1000 //eclips
8        52      1200 //hades
8        102     1500 //dark devil
8        112     1600 //dark wiz
8        116     2500 //Mercury
9        2       100 //pad
9        4       225 //bone
9        7       300 //sphinks
9        3       400 //legendary
9        18      500 //grand soul
9        22      650 //dark soul
9        30      800 //venom
9        35      1000 //eclips
9        52      1200 //hades
9        102     1500 //dark devil
9        112     1600 //dark wiz
9        116     2500 //Mercury
10        2       100 //pad
10        4       225 //bone
10        7       300 //sphinks
10        3       400 //legendary
10        18      500 //grand soul
10        22      650 //dark soul
10        30      800 //venom
10        35      1000 //eclips
10        52      1200 //hades
10        102     1500 //dark devil
10        112     1600 //dark wiz
10        116     2500 //Mercury
11        2       100 //pad
11        4       225 //bone
11        7       300 //sphinks
11        3       400 //legendary
11        18      500 //grand soul
11        22      650 //dark soul
11        30      800 //venom
11        35      1000 //eclips
11        52      1200 //hades
11        102     1500 //dark devil
11        112     1600 //dark wiz
11        116     2500 //Mercury
//shields
6       0       100 //small
6       4       150 //buckler
6       6       175 //skull
6       14      400 //legendary
6       15      500 //grand soul
6       20      600 //guardian
6       102      700 //dark devil
6       106      800 //dark angel
//weapons
5      1       200 //Angelic Staff
5      3       300 //Thunder Staff
5      4       450 //Gorgon Staff
5      5       600 //Legendary Staff
5      6       700 //Staff of Resurrection
5      8       1000 //Staff of Destruction
5      9       2000 //Dragon Soul Staff
5      10       3000 //Divine Staff of Archangel
5      11       3500 //Staff of Kundun
5      12       4000 //Grand Viper Staff
