/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 003 - Harold the Wandering Merchant
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
14	0	0	3	0	0	0	0	0	0	0	255	255	255	255	255	//Apple
14	1	3	50	0	0	0	0	0	0	0	255	255	255	255	255	//Small Healing Potion
14	2	3	50	0	0	0	0	0	0	0	255	255	255	255	255	//Healing Potion
14	3	3	50	0	0	0	0	0	0	0	255	255	255	255	255	//Large Healing Potion
14	8	3	50	0	0	0	0	0	0	0	255	255	255	255	255	//Antidote
14	4	3	50	0	0	0	0	0	0	0	255	255	255	255	255	//Small Mana Potion
14	5	3	50	0	0	0	0	0	0	0	255	255	255	255	255	//Mana Potion
14	6	3	50	0	0	0	0	0	0	0	255	255	255	255	255	//Large Mana Potion
14	9	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
13	1	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Imp
13	2	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Horn of Uniria
13	3	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//Horn of Dinorant
end
