//Section	Type	Level	Dur	Skill	Luck	Option	ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
7	29	0	0	0	1	0	0	1	0	0	255	255	255	255	255
7	30	0	0	0	1	0	0	1	0	0	255	255	255	255	255
7	31	0	0	0	1	0	0	1	0	0	255	255	255	255	255
7	33	0	0	0	1	0	0	1	0	0	255	255	255	255	255
8	29	0	0	0	1	0	0	1	0	0	255	255	255	255	255
8	30	0	0	0	1	0	0	1	0	0	255	255	255	255	255
8	31	0	0	0	1	0	0	1	0	0	255	255	255	255	255
8	33	0	0	0	1	0	0	1	0	0	255	255	255	255	255
9	29	0	0	0	1	0	0	1	0	0	255	255	255	255	255
9	30	0	0	0	1	0	0	1	0	0	255	255	255	255	255
9	31	0	0	0	1	0	0	1	0	0	255	255	255	255	255
9	33	0	0	0	1	0	0	1	0	0	255	255	255	255	255
10	29	0	0	0	1	0	0	1	0	0	255	255	255	255	255
10	30	0	0	0	1	0	0	1	0	0	255	255	255	255	255
10	31	0	0	0	1	0	0	1	0	0	255	255	255	255	255
10	33	0	0	0	1	0	0	1	0	0	255	255	255	255	255
11	29	0	0	0	1	0	0	1	0	0	255	255	255	255	255
11	30	0	0	0	1	0	0	1	0	0	255	255	255	255	255
11	31	0	0	0	1	0	0	1	0	0	255	255	255	255	255
11	33	0	0	0	1	0	0	1	0	0	255	255	255	255	255
end															
