//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
12           193     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           195     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           197     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           199     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           201     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           203     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           205     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           207     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           209     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           211     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           213     15       0     0       1      3        1	1	1	1	255	255	255	255	255

end
