//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
12           215     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           217     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           219     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           221     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           223     15       0     1       1      3        1	1	1	1	255	255	255	255	255
12           225     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           227     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           229     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           231     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           233     15       0     0       1      3        1	1	1	1	255	255	255	255	255
12           235     15       0     0       1      3        1	1	1	1	255	255	255	255	255

end
