//Section	Type	Level	Dur	Skill	Luck	Option	ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14	1	0	50	0	0	0	0	1	0	0	255	255	255	255	255
14	2	0	50	0	0	0	0	1	0	0	255	255	255	255	255
14	3	0	50	0	0	0	0	1	0	0	255	255	255	255	255
14	4	0	50	0	0	0	0	1	0	0	255	255	255	255	255
14	5	0	50	0	0	0	0	1	0	0	255	255	255	255	255
14	6	0	50	0	0	0	0	1	0	0	255	255	255	255	255
13	1	0	0	0	0	0	0	1	0	0	255	255	255	255	255
13	0	0	0	0	0	0	0	1	0	0	255	255	255	255	255
14	17	1	0	0	0	0	0	1	0	0	255	255	255	255	255
14	17	2	0	0	0	0	0	1	0	0	255	255	255	255	255
14	17	3	0	0	0	0	0	1	0	0	255	255	255	255	255
14	17	4	0	0	0	0	0	1	0	0	255	255	255	255	255
14	17	5	0	0	0	0	0	1	0	0	255	255	255	255	255
14	17	6	0	0	0	0	0	1	0	0	255	255	255	255	255
14	17	7	0	0	0	0	0	1	0	0	255	255	255	255	255
14	9	0	0	0	0	0	0	1	0	0	255	255	255	255	255
14	18	1	0	0	0	0	0	1	0	0	255	255	255	255	255
14	18	2	0	0	0	0	0	1	0	0	255	255	255	255	255
14	18	3	0	0	0	0	0	1	0	0	255	255	255	255	255
14	18	4	0	0	0	0	0	1	0	0	255	255	255	255	255
14	18	5	0	0	0	0	0	1	0	0	255	255	255	255	255
14	18	6	0	0	0	0	0	1	0	0	255	255	255	255	255
14	18	7	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	1	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	2	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	3	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	4	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	5	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	6	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	7	0	0	0	0	0	1	0	0	255	255	255	255	255
13	17	8	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	1	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	2	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	3	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	4	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	5	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	6	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	7	0	0	0	0	0	1	0	0	255	255	255	255	255
13	16	8	0	0	0	0	0	1	0	0	255	255	255	255	255
13	29	8	0	0	0	0	0	1	0	0	255	255	255	255	255
13	2	8	0	0	0	0	0	1	0	0	255	255	255	255	255
14	78	0	0	0	0	0	0	1	0	0	255	255	255	255	255
14	79	0	0	0	0	0	0	1	0	0	255	255	255	255	255
14	80	0	0	0	0	0	0	1	0	0	255	255	255	255	255
14	81	0	0	0	0	0	0	1	0	0	255	255	255	255	255
14	82	0	0	0	0	0	0	1	0	0	255	255	255	255	255
13	3	8	0	0	0	0	0	1	0	0	255	255	255	255	255
end															
