//Section	Type	Level	Dur	Skill	Luck	Option	ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
8	15     9       0     0       1      6        0	0	0	0	255	255	255	255	255
9	15     9       0     0       1      6        0	0	0	0	255	255	255	255	255
10	15     9       0     0       1      6        0	0	0	0	255	255	255	255	255
11	15     9       0     0       1      6        0	0	0	0	255	255	255	255	255
8	20     9       0     0       1      6        0	0	0	0	255	255	255	255	255
9	20     9       0     0       1      6        0	0	0	0	255	255	255	255	255
10	20     9       0     0       1      6        0	0	0	0	255	255	255	255	255
11	20     9       0     0       1      6        0	0	0	0	255	255	255	255	255
0       18      9       0     1       1      6        0	0	0	0	255	255	255	255	255
0       31      9       0     1       1      6        0	0	0	0	255	255	255	255	255
15	29      0       0     0       0      0        0	0	0	0	255	255	255	255	255	
12	16      0       0     0       0      0        0	0	0	0	255	255	255	255	255
end															
