//Section	Type	Level	Dur	Skill	Luck	Option	ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14	1	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Small Healing Potion
14	1	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Small Healing Potion
14	2	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Healing Potion
14	3	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Large Healing Potion
14	4	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Small Mana Potion
14	4	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Small Mana Potion
14	5	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Mana Potion
14	6	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Large Mana Potion
7	10	9	0	0	1	7       0 0	0	0	255	255	255	255	255	//Vine Helm
7	11	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Silk Helm
7	12	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Wind Helm
7	13	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Spirit Helm
8	10	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Vine Armor
8	11	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Silk Armor
8	12	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Wind Armor
8	13	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Spirit Armor
9	10	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Vine Pants
9	11	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Silk Pants
9	12	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Wind Pants
9	13	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Spirit Pants
10	10	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Vine Gloves
10	11	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Silk Gloves
10	12	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Wind Gloves
10	13	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Spirit Gloves
11	10	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Vine Boots
11	11	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Silk Boots
11	12	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Wind Boots
11	13	9	0	0	1	7	0 0	0	0	255	255	255	255	255	//Spirit Boots
13	29	0	1	0	0	0	0 0	0	0	255	255	255	255	255	//Armor of Guardsman
14	10	0	1	0	0	0	0 0	0	0	255	255	255	255	255	//Town Portal Scroll
4	7	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Bolt
4	7	1	255	0	0	0	0 0	0	0	255	255	255	255	255	//Bolt
4	7	2	255	0	0	0	0 0	0	0	255	255	255	255	255	//Bolt
4	7	3	255	0	0	0	0 0	0	0	255	255	255	255	255	//Bolt
14	9	0	1	0	0	0	0 0	0	0	255	255	255	255	255	//Ale
4	15	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Arrow
4	15	1	255	0	0	0	0 0	0	0	255	255	255	255	255	//Arrow
4	15	2	255	0	0	0	0 0	0	0	255	255	255	255	255	//Arrow
4	15	3	255	0	0	0	0 0	0	0	255	255	255	255	255	//Arrow
12	8	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Orb of Healing
12	9	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Orb of Greater Fortitude
12	10	0	255	0	0	0	0 0	0	0	255	255	255	255	255	//Orb of Greater Damage
12	11	0	0	0	0	0	0 0	0	0	255	255	255	255	255	//Orb of Summoning
12	11	1	255	0	0	0	0 0	0	0	255	255	255	255	255	//Orb of Summoning
12	11	2	255	0	0	0	0 0	0	0	255	255	255	255	255	//Orb of Summoning
12	11	3	255	0	0	0	0 0	0	0	255	255	255	255	255	//Orb of Summoning
12	45	0	0	0	0	0	0 0	0	0	255	255	255	255	255	//Crystal of Multi-Shot
12	46	0	0	0	0	0	0 0	0	0	255	255	255	255	255	//Crystal of Recovery
end															
