//=========================================================================================================================================
// NHServers Betell Host www.betellhost.com.br
//=========================================================================================================================================
//Index   Message
0         "[Blood Castle] Fechará em %d minuto(s)"
1         "[Blood Castle] Fechado"
2         "[Blood Castle] %d Começará em %d minuto(s)"
3         "[Blood Castle] Começou"
4         "Todos monstros Foram derrotados"
5         "Todos monstros Foram derrotados"
6         "[Blood Castle] Terminou"
7         "Você não é forte o suficiente para entrar em Blood Castle"
8         "Jogador %s dropou a arma do Arcanjo"
9         "Jogador %s Pegou a arma do Arcanjo"
10        "Jogador %s destruiu o portão do castelo"
11        "Jogador %s destruiu a estátua"
16        "[Chaos Castle] Fechará em %d minuto(s)"
17        "[Chaos Castle] Fechado"
18        "[Chaos Castle] %d Começará em %d minuto(s)"
19        "[Chaos Castle] Começou"
20        "[Chaos Castle] Terminou"
32        "Free Account"                                                                                       
33        "Bronze Account"                                                                                     
34        "Silver Account"                                                                                     
35        "Gold Account"   
36        "Você não pode utilizar nesse mapa!"
37        "Você não pode entrar estando em uma party!"
38        " "
39        " "
40        " "
41        " "
42        " "
43        " "
44        " "
45        " "
46        " "
47        " "
48        " "
49        " "
50        " "
51        " "
52        " "
53        " "
54        " "
55        " "
56        " "
57        " "
58        " "
64        "Você não tem permissão para utilizar"
65        "Você precisa ser no mínimo level %d para utilizar"
66        "Você precisa ter no mínimo %d resets para utilizar"
67        "Você precisa ter no mínimo %d zen para utilizar"
68        "Você precisa esperar %d segundos para utilizar"
69        "%s"
70        "Você não tem permissão para usar o comando /add"
71        "Comando exclusivo para Dark Lord"
72        "Você não tem pontos suficientes para adicionar"
73        "Você precisa ter no mínimo %d zen para utilizar o /add"
74        "Foi adicionado [ %d ] pontos, agora resta [ %d ] pontos"
75        "Você não tem permissão para utilizar o /pkclear"
76        "Você não está [ PK ]"
77        "Precisa de [ %d ] Zen para usar o comando /pkclear"
78        "Você limpou o seu PK"
79        "Você não tem permissão para usar o comando /zen"
80        "Você digitou um valor inválido para adicionar"
81        "Você não tem permissão para utilizar o /change"
82        "Você precisa ter no mínimo %d zen para utilizar o /change"
83        "Você já está na uiltima classe"
84        "Classe evoluida"
85        "Você não tem permissão para utilizar o /ware"
86        "Você não pode usar o comando /bau no momento"
87        "Não foi possível mudar o bau você digitou um número inválido"
88        "Você alterou para o bau [ %d ] com sucesso"
89        "Você não tem permissão para usar o comando /reset"
90        "Você não pode usar o comando /reset no momento"
91        "Precisa de nível [ %d ] para usar o comando /reset"
92        "Precisa de [ %d ] Zen usar o comando /reset"
93        "Você não pode ter mais do que [ %d ] resets"
94        "Você não pode repor com itens equipados"
95        "Você agora tem [ %d ] reset(s)"
96        "Você não tem permissão para utilizar o /gmmove"
97        "Você digitou um alvo inválido para o /gmmove"
98        "Você não tem permissão para utilizar o /gmpost"
99        "Você não tem permissão para utilizar o /track"
100       "Personagem não encontrado!"
101       "Você não tem permissão para utilizar o /trace"
102       "Você digitou um alvo inválido para o /trace"
103       "Você não tem permissão para utilizar o /disconnect"
104       "Você digitou um alvo inválido para o /disconnect"
105       "Você não tem permissão para utilizar o /fireworks"
106       "Você não tem permissão para utilizar o /make"
107       "You successfully created item"
108       "Você não tem permissão para utilizar o /skin"
109       "Você digitou um alvo inválido para o /skin"
110       "Você não tem permissão para utilizar o /setmoney"
111       "Você digitou um alvo inválido para o /setmoney"
112       "Você digitou um valor inválido para o /setmoney"
113       "Você não tem permissão para utilizar o /notice"
114       "Adicionar pontos automaticamente: [ON] (%d)"
115       "Adicionar pontos automaticamente: [OFF]"
116       "Reset Automático: [ON]"
117       "Reset Automático: [OFF]"
118       "Você não tem permissão para utilizar o /mreset"
119       "Você não pode usar /mreset no tempo"
120       "Precisa o nível de [ %d ] para usar o comando /mreset"
121       "Precisa de [ %d ] resets a usar o comando /mreset"
122       "Precisa de [ %d ] Zen usar o comando /mreset"
123       "Você não pode ter mais do que [ %d ] master resets"
124       "Não é possível repor com itens principais equipados"
125       "Você agora tem [ %d ] Master Reset(s)"
126       "Pedidos de recebimento: Conectado"
127       "Pedidos recebidos: [OFF]"
128       "Pedidos de recebimento: Automático"
129       "Você só pode resetar [ %d ] vezes por dia"
130       "Você só pode resetar [ %d ] vezes por semana"
131       "Você só pode resetar [ %d ] vezes por mês"
132       "Você só pode dar MR [ %d ] vezes por dia"
133       "Você só pode dar MR [ %d ] vezes por semana"
134       "Você só pode dar MR [ %d ] vezes por mês"
135       "Você não tem permissão para usar o comando /hide"
144       "[Devil Square] Fechará em %d minuto(s)"
145       "[Devil Square] Fechado"
146       "[Devil Square] %d Começará em %d minuto(s)"
147       "[Devil Square] Começou"
148       "[Devil Square] Terminou"
149       "Você não é forte o suficiente para entrar em Devil Square"
160       "O jogador alvo não está online"
161       "Você não pode duelar neste momento"
162       "O jogador alvo recusou seu pedido de duelo automaticamente"
163       "Você já pediu ou foi convidado a duelar"
164       "O jogador alvo já pediu ou foi convidado a duelar"
165       "Você não pode duelar se estiver em Guild War"
166       "O jogador alvo não pode duelar em Guild War"
167       "Você não pode duelar neste mapa"
168       "Você não pode duelar durante Castle Siege"
169       "Nome de jogador alvo é inválido"
170       "Você não pode duelar com Self Defense"
171       "Jogador não pode visar duelo Self Defense"
172       "O jogador alvo recusou sua solicitação de duelo"
173       "Todas arenas estão cheias no momento"
174       "[DUEL] Entre [%s] e [%s] começou!"
175       "[DUEL] Jogador [%s] ganhou o duelo contra o jogador [%s]!"
176       "[Illusion Temple] Fechará em %d minuto(s)"
177       "[Illusion Temple] Fechado"
178       "[Illusion Temple] %d Começará em %d minuto(s)"
179       "[Illusion Temple] Começou"
180       "[Illusion Temple] Terminou"
181       "Você não é forte o suficiente para entrar Illusion Temple"
182       "Você não tem o item exigido para entrar Illusion Temple"
183       "O Jogador %s dropou o artefato"
184       "O jogador %s pegou o artefato"
192       "[Invasão] Skeleton King começou!"
193       "[Invasão] Red Dragon começou!"
194       "[Invasão] Dourados começou!"
195       "[Invasão] White Wizard começou!"
196       "[Invasão] Ano Novo começou!"
197       "[Invasão] Coelhos começou!"
198       "[Invasão] Verão começou!"
199       "[Invasão] Natal começou!"
200       "[Invasão] Medusa começou!"
202       "Jogador [%s] derrotou Skeleton King!"
203       "Jogador [%s] derrotou Red Dragon!"
204       "Jogador [%s] derrotou Golden Dragon!"
205       "Jogador [%s] derrotou White Wizard!"
206       "Jogador [%s] derrotou Cursed Santa!"
207       "Jogador [%s] derrotou Medusa!"
208       "O Merchant Moss apareceu em Elbeland!"
209       "O Merchant Moss se foi!"
210       "[Invasão] Invocar Demônios começou!"
211       "[Invasão] Ovos começou!"
224       "Você deve ter pelo menos o nível [ %d ] para mover"
225       "Você deve ter pelo menos [ %d ] zen para mover"
226       "Você não é [VIP] ou não pode se mover"
227       "Assassinos não pode se mover"
228       "Você não tem equipamento correto para mover"
229       "Apenas os membros de famílias de gens podem se mover"
230       "Você precisa ter no máximo o nível %d para mover"
231       "Você deve ter pelo menos [ %d ] resets para se mover"
232       "Você precisa ter um máximo de [ %d ] resets para se mover"
240       "Senior não está ativo no momento"
241       "Senior não funciona durante Castle Siege"
242       "Você tem que ser um dono da guild do castelo para usar Senior"
243       "Você deve ser o dono da guild para poder usar Senior"
244       "Guardsman não funciona durante Castle Siege"
245       "Você já está em uma guild"
246       "Você não tem nível suficiente para criar uma guild"
247       "Não tenho nada para vender no momento"
248       "Nível de conta: [FREE]"
249       "Nível de conta: [VIP] (Finaliza em: %s)"
250       "Nível de conta: [VIP2] (Finaliza em: %s)"
251       "Nível de conta: [VIP3] (Finaliza em: %s)"
256       "Bem vindo %s ao Continente Lendario"
257       "Você deve ter pelo menos nível 40 para utilizar o anel"
258       "Você deve ter pelo menos nível 80 para utilizar o anel"
259       "Você não pode mover-se para este mapa no momento"
260       "Você não pode pegar este item neste momento"
261       "Você não pode sair do jogo com um comércio aberto"
262       "Você não pode sair do jogo com o bau aberto"
263       "Você não pode sair do jogo com o Chaos Machine aberto"
264       "Você não pode sair do jogo com um instrutor aberto"
265       "Você não pode sair do jogo com status de legítima defesa"
266       "Você está no level máximo"
267       "Você está no level master máximo"
268       "Você só pode adicionar pontos [ %d ]"
269       "Você não pode falar durante %d segundos"
270       "Não é possível enviar mensagem para si mesmo"
271       "Olá, estou aqui para proteger"
272       "Não foi possível realizar o teletransporte"
273       "Você será teletransportado em [ %d ] segundo(s)"
274       "Você não pode mover para este mapa montado"
275       "Você não pode se mover para este mapa sem asa"
276       "Gift [CASH SHOP]"
304       "Ice Walker apareceu!"
305       "Você não é forte o suficiente para chegar em Double Goer"
306       "Ice Walker foi derrotado!"
320       "[Raklion Event] Boss Selupan retornou! Portal fechará em %d minuto(s)"
321       "[Raklion Event] Portal da Hatchery está fechado"
322       "Jogador [%s] derrotou Boss Selupan!"
323       "[Raklion Event] Portal para Selupan abrirá novamente em 24 hora(s)"
324       "[Raklion Event] Portal para Selupan está aberto!"
325       "[Raklion Event] Portal da Hatchery está fechado"
336       "[Kanturu Event] Refinamento Torre será encerrado em 60 minutos"
