06:41:25 [AccountInfo] Account disconnected (Account: teste1, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste10, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste11, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste12, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste13, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste14, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste15, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste16, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste2, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste3, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste4, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste5, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste6, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste7, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste8, IpAddress: 127.0.0.1, GameServerCode: 0)
06:41:25 [AccountInfo] Account disconnected (Account: teste9, IpAddress: 127.0.0.1, GameServerCode: 0)
09:10:24 [AccountInfo] Account connected (Account: admin2, IpAddress: 45.5.211.74, GameServerCode: 0)
09:10:32 [AccountInfo] Account disconnected (Account: admin2, IpAddress: 45.5.211.74, GameServerCode: 0)
